Points_0,Points_1,Points_2,u.x_0,u.x_1,u.x_2,u.x_Magnitude
11.2,-0.220636,0,1.26394,0.198654,-0.029282,1.27979
11.2055,-0.222309,0,1.30653,0.223525,-0.00890376,1.32555
11.2135,-0.225926,0,1.3566,0.238866,0.0172047,1.37757
11.1982,-0.220209,0,1.25038,0.18836,-0.0351186,1.26498
11.1945,-0.219152,4.33681e-19,1.22214,0.170687,-0.0483108,1.23494
11.2165,-0.227632,0,1.37632,0.240038,0.0289174,1.39739
11.2275,-0.23218,0,1.42673,0.227682,0.0500469,1.44565
11.2293,-0.233333,0,1.43582,0.225349,0.055015,1.45443
11.2385,-0.237934,0,1.47247,0.207394,0.0720705,1.48875
11.2433,-0.240741,0,1.48969,0.199964,0.0814514,1.50525
11.2495,-0.244243,0,1.50382,0.189894,0.0847456,1.51813
11.2572,-0.248148,0,1.52123,0.175253,0.0925202,1.53408
11.2605,-0.250088,0,1.52834,0.168548,0.0960168,1.5406
11.2715,-0.254426,0,1.53735,0.151196,0.0869241,1.54721
11.2733,-0.255556,0,1.54111,0.148914,0.0884976,1.55082
11.1472,-0.229844,0,1.27641,-0.242349,0.0316291,1.2996
11.1505,-0.226984,0,1.2492,-0.233486,0.0117045,1.27088
11.1519,-0.225926,0,1.23918,-0.225591,0.00479767,1.25956
11.1562,-0.223565,0,1.21515,-0.201921,-0.0134807,1.23188
11.2825,-0.259284,0,1.54887,0.140576,0.0795851,1.55727
11.3044,-0.266913,0,1.56298,0.125217,0.0605247,1.56915
11.1421,-0.303464,0,1.58637,0.0791728,0.154142,1.59581
11.1411,-0.3,4.33681e-19,1.58656,0.0668792,0.158618,1.59587
11.3264,-0.27341,0,1.5773,0.106882,0.0539674,1.58184
11.3374,-0.274275,0,1.57776,0.0958141,0.0464624,1.58135
11.3484,-0.274792,0,1.58072,0.0815345,0.0436036,1.58343
11.1542,-0.337037,0,1.59471,0.102827,0.12091,1.60259
10.9814,0.149357,0,1.44198,-0.0571709,0.0361171,1.44356
10.9856,0.150427,0,1.44187,-0.0565614,0.0421167,1.4436
11.0076,0.156126,0,1.44063,-0.0520491,0.0823879,1.44392
10.8647,0.121938,0,1.50596,-0.12487,-0.109589,1.5151
10.8596,0.120259,0,1.51106,-0.130128,-0.111595,1.52075
11.0296,0.162651,0,1.44163,-0.052549,0.115492,1.4472
11.0406,0.164765,0,1.44072,-0.0550688,0.1301,1.44763
10.8427,0.114548,0,1.53028,-0.148767,-0.12459,1.54254
10.8378,0.112584,0,1.53657,-0.154431,-0.12728,1.54955
11.0626,0.169971,0,1.45372,-0.0634942,0.14841,1.46266
11.0736,0.171346,0,1.45691,-0.0689438,0.153131,1.46655
11.0956,0.17566,0,1.46415,-0.0783227,0.147191,1.47361
11.1065,0.176812,0,1.46495,-0.080454,0.137022,1.47354
11.1175,0.177507,0,1.46292,-0.0819818,0.126291,1.47064
10.8207,0.104528,0,1.55888,-0.17687,-0.138225,1.57496
10.8123,0.1,0,1.57452,-0.188803,-0.145809,1.59249
10.8097,0.0983692,0,1.57776,-0.192306,-0.146574,1.59618
10.8011,0.0925926,0,1.5909,-0.206843,-0.148123,1.61111
10.7987,0.0910224,0,1.59424,-0.210156,-0.149615,1.61497
10.7914,0.0851852,0,1.60736,-0.221418,-0.157682,1.63018
10.7877,0.0824011,0,1.61363,-0.228932,-0.15488,1.63713
10.7824,0.0777778,0,1.62379,-0.238531,-0.160437,1.64904
10.7767,0.0727337,0,1.63422,-0.248001,-0.167374,1.66138
11.3924,-0.273938,0,1.57985,0.0257966,0.0418588,1.58062
11.4034,-0.272471,0,1.5781,0.016314,0.0419437,1.57874
11.4144,-0.272674,0,1.57251,0.00572808,0.0444132,1.57315
11.4192,-0.27037,0,1.57651,0.00271553,0.0391877,1.577
10.7736,0.0703704,0,1.63898,-0.251667,-0.169835,1.66686
10.7695,0.062963,0,1.6517,-0.259306,-0.19328,1.68307
10.7657,0.0594487,0,1.65973,-0.266833,-0.190855,1.69184
10.7613,0.0555556,0,1.66635,-0.269992,-0.194966,1.6993
10.7591,0.0481481,0,1.67497,-0.276517,-0.215627,1.71128
10.7547,0.0435193,0,1.68272,-0.282612,-0.219395,1.72034
11.1644,-0.362516,0,1.65346,0.000280775,0.17146,1.66233
11.1623,-0.359259,0,1.6274,-0.0217816,0.14229,1.63376
11.1695,-0.370467,0,1.63881,0.0736536,0.279609,1.66412
11.1667,-0.366667,0,1.69247,0.0255009,0.209106,1.70553
11.1645,-0.362911,0,1.65821,-0.000175284,0.174377,1.66735
11.4364,-0.264152,0,1.57469,-0.0160482,0.0382651,1.57524
11.4254,-0.267488,0,1.57826,-0.00196023,0.036799,1.57869
10.7517,0.0407407,0,1.68719,-0.282501,-0.222719,1.72511
10.75,0.0333333,0,1.6909,-0.286657,-0.238255,1.7315
10.7478,0.0259259,0,1.69575,-0.294089,-0.250421,1.73919
11.4584,-0.257056,0,1.56959,-0.0424166,0.0360861,1.57058
11.2165,-0.372935,0,0.983873,-0.0515148,0.0925934,0.989562
11.2133,-0.374074,0,0.988155,-0.115873,0.0954186,0.999491
11.2055,-0.376418,0,0.955788,-0.244461,0.0947201,0.991092
11.2385,-0.377464,0,0.817651,0.265561,0.0326002,0.860313
11.3374,-0.372864,0,0.836186,0.00136701,0.014568,0.836314
11.3264,-0.373601,0,0.825985,-0.0629731,0.0117699,0.828466
11.3484,-0.373094,0,0.819499,0.0437847,0.00926679,0.82072
11.3238,-0.374074,0,0.815301,-0.0684727,0.00868719,0.818217
11.3154,-0.375399,0,0.783812,-0.07265,0.000700701,0.787172
11.3594,-0.373451,0,0.798602,0.0171162,0.00234276,0.798789
11.3704,-0.3729,0,0.814114,-0.0391124,0.00360019,0.815061
11.3814,-0.372186,0,0.828698,-0.0292161,0.00678963,0.829241
11.3924,-0.371926,0,0.828314,0.00874812,0.00689761,0.828389
11.4034,-0.371905,0,0.824217,0.00490696,0.00468447,0.824245
11.4144,-0.371715,0,0.827529,-0.00983107,0.00411162,0.827598
11.4254,-0.370481,0,0.842408,-0.00688788,0.00543695,0.842454
11.4364,-0.370561,0,0.845754,-0.00537193,0.00501422,0.845786
11.4474,-0.370895,0,0.836647,-0.00465966,0.00341796,0.836667
11.4584,-0.370351,0,0.84917,-0.00259341,0.00458389,0.849186
11.4694,-0.37062,0,0.841269,-0.00633739,0.0038692,0.841302
11.4804,-0.370138,0,0.854424,-0.00523498,0.0043076,0.854451
11.4914,-0.370431,0,0.848948,-0.00872512,0.00365083,0.849001
11.4914,-0.243329,0,1.54428,-0.075603,0.0278942,1.54638
11.5023,-0.370198,0,0.858046,-0.0052621,0.00328982,0.858068
11.1834,-0.380533,0,0.918291,0.294356,0.0365657,0.965008
11.1835,-0.380587,0,0.91232,0.294482,0.0320536,0.959205
11.1873,-0.380472,0,0.87092,0.0776571,0.0379056,0.875196
11.1745,-0.375328,0,1.45327,0.184756,0.322467,1.50004
11.1727,-0.374074,0,1.57327,0.133961,0.354259,1.61821
11.1695,-0.370521,0,1.63813,0.0739125,0.280521,1.66362
11.1725,-0.373903,0,1.58049,0.124961,0.35582,1.62486
11.2495,-0.37841,0,0.736562,-0.0440737,-0.00699838,0.737912
11.2605,-0.377177,0,0.804833,-0.164995,0.00930185,0.821625
11.2715,-0.375186,0,0.849069,-0.096178,0.02523,0.854872
11.3044,-0.376036,0,0.767906,0.0342542,-0.000335415,0.76867
11.2935,-0.37513,0,0.810421,0.0844893,0.0162002,0.814975
11.5133,-0.370141,0,0.834193,-0.00630002,0.00163355,0.834218
11.5243,-0.370004,0,0.846222,-0.00691723,0.00213207,0.846253
11.5353,-0.369745,0,0.845575,-0.00689183,0.00138956,0.845604
11.5089,-0.235779,0,1.52151,-0.0875064,0.0212874,1.52417
11.5133,-0.234165,-4.33681e-19,1.51649,-0.0888541,0.0196467,1.51922
11.5147,-0.233333,-4.33681e-19,1.51371,-0.0889099,0.0178465,1.51642
11.5186,-0.231479,0,1.5034,-0.0872534,0.0135102,1.50599
11.5191,-0.231177,0,1.50177,-0.0872944,0.0128544,1.50436
11.5243,-0.228991,0,1.48917,-0.0847562,0.00758278,1.4916
11.5463,-0.369658,0,0.839258,-0.00586073,0.00158208,0.83928
11.5463,-0.222492,0,1.45337,-0.0357702,-0.00731697,1.45383
11.5573,-0.369489,0,0.838355,-0.00566064,0.00134378,0.838375
11.5683,-0.369297,0,0.838774,-0.00515519,0.00111178,0.838791
11.5573,-0.221333,0,1.45568,-0.00334231,-0.00832392,1.45571
11.5683,-0.220791,0,1.46491,0.0381036,-0.00896907,1.46544
11.5793,-0.220989,0,1.4869,0.0703959,-0.00699379,1.48858
11.5793,-0.369092,0,0.839464,-0.00502242,0.00096998,0.839479
10.74,0.0111111,0,1.7093,-0.301358,-0.267068,1.75609
10.7384,0.0037037,0,1.7083,-0.308504,-0.276563,1.75783
10.7378,-0.0037037,0,1.70338,-0.320043,-0.285051,1.75647
11.5903,-0.221649,0,1.51162,0.0862909,-0.00302967,1.51408
11.5903,-0.368868,0,0.840494,-0.00590787,0.000849548,0.840515
11.6013,-0.22241,0,1.53084,0.0915506,-0.000126201,1.53357
11.6013,-0.368624,0,0.841941,-0.0060955,0.000676528,0.841964
11.6123,-0.368363,0,0.843434,-0.00565162,0.000519149,0.843453
