Point ID,Points_0,Points_1,Points_2,Points_Magnitude,Result,absOmega,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,vtkValidPointMask
0,9.80606,0.139011,0,9.80704,0.139011,9.39565,0.5,0,13,-36.7201,-9.39565,0.343955,1.38536,-0.194623,0.107027,1.40305,0,1
1,9.81248,0.141711,0,9.81351,0.141759,8.36086,0.5,0,13,-28.0134,-8.36086,0.346998,1.39714,-0.202643,0.102985,1.41551,0,1
2,9.80604,0.139004,0,9.80703,0.139004,9.39839,0.5,0,13,-36.7421,-9.39839,0.343948,1.38533,-0.194608,0.107039,1.40302,0,1
3,9.81745,0.144444,0,9.81851,0.144492,8.69144,0.5,0,13,-30.289,-8.69144,0.350446,1.40429,-0.207523,0.102658,1.42325,0,1
4,9.80148,0.137033,0,9.80244,0.137034,10.2035,0.5,0,13,-43.5629,-10.2035,0.3416,1.37618,-0.189193,0.110486,1.39351,0,1
5,9.80149,0.137037,0,9.80244,0.137037,10.2037,0.5,0,13,-43.5641,-10.2037,0.341604,1.37619,-0.189201,0.110488,1.39352,0,1
6,9.82349,0.14764,0,9.82459,0.147686,7.89981,0.5,0,13,-22.1826,-7.89981,0.351793,1.41647,-0.20893,0.0936512,1.43485,0,1
7,9.83233,0.151852,0,9.8335,0.151897,8.2487,0.5,0,13,-22.1155,-8.2487,0.356806,1.42542,-0.214132,0.0850475,1.44392,0,1
8,9.79691,0.135146,0,9.79784,0.135146,9.89076,0.5,0,13,-39.7651,-9.89076,0.340969,1.37335,-0.178324,0.105219,1.38887,0,1
9,9.79689,0.135139,0,9.79782,0.135139,9.88994,0.5,0,13,-39.76,-9.88994,0.340964,1.37334,-0.178288,0.105205,1.38885,0,1
10,9.79048,0.132562,0,9.79138,0.132614,9.53885,0.5,0,13,-35.069,-9.53885,0.339821,1.36924,-0.163381,0.0982782,1.38245,0,1
11,9.78369,0.12963,0,9.78455,0.129683,9.36507,0.5,0,13,-32.4817,-9.36507,0.339361,1.35757,-0.154757,0.0980968,1.36988,0,1
12,9.83449,0.15314,0,9.83568,0.153185,7.90837,0.5,0,13,-18.8543,-7.90837,0.356973,1.4296,-0.213326,0.0811719,1.4477,0,1
13,9.84549,0.157744,0,9.84676,0.157787,6.54175,0.5,0,12.9566,-6.74935,-6.54175,0.362753,1.43814,-0.211067,0.0631805,1.45492,0,1
14,9.77948,0.127519,0,9.78031,0.127573,8.90343,0.5,0,13,-27.7554,-8.90343,0.338974,1.35443,-0.148315,0.0901937,1.3655,0,1
