xp,yp,label,umag,ux
9.80606,0.139011,0,0.0,0.0
9.81248,0.141711,0,0.0,0.0
9.81745,0.144444,0,0.0,0.0
9.82349,0.14764,0,0.0,0.0
9.83233,0.151852,0,0.0,0.0
9.83449,0.15314,0,0.0,0.0
9.84549,0.157744,0,0.0,0.0
9.84822,0.159259,0,0.0,0.0
9.85649,0.163226,0,0.0,0.0
9.86299,0.166667,0,0.0,0.0
9.8675,0.169184,0,0.0,0.0
9.8785,0.172345,0,0.0,0.0
9.88205,0.174074,0,0.0,0.0
9.8895,0.177499,0,0.0,0.0
9.89511,0.179107,0,0.0,0.0
9.89648,0.179445,0,0.0,0.0
9.9005,0.180594,0,0.0,0.0
9.90287,0.181481,0,0.0,0.0
9.90606,0.182649,0,0.0,0.0
9.90672,0.182908,0,0.0,0.0
9.91151,0.184574,0,0.0,0.0
9.92251,0.186236,0,0.0,0.0
9.92808,0.187274,0,0.0,0.0
9.92932,0.187413,0,0.0,0.0
9.93351,0.188174,0,0.0,0.0
9.937,0.188889,0,0.0,0.0
9.94003,0.189467,0,0.0,0.0
9.94025,0.189525,0,0.0,0.0
9.94452,0.190263,0,0.0,0.0
9.95552,0.191273,0,0.0,0.0
9.96652,0.191654,0,0.0,0.0
9.97752,0.191687,0,0.0,0.0
9.98853,0.191454,0,0.0,0.0
9.99953,0.190937,0,0.0,0.0
10.0105,0.189987,0,0.0,0.0
10.015,0.189469,0,0.0,0.0
10.0151,0.189452,0,0.0,0.0
10.0194,0.188889,0,0.0,0.0
10.0215,0.188591,0,0.0,0.0
10.0268,0.187987,0,0.0,0.0
10.0274,0.18793,0,0.0,0.0
10.0325,0.187354,0,0.0,0.0
10.0435,0.186508,0,0.0,0.0
10.0545,0.186047,0,0.0,0.0
10.0655,0.185849,0,0.0,0.0
10.0765,0.185874,0,0.0,0.0
10.0876,0.18609,0,0.0,0.0
10.0986,0.18674,0,0.0,0.0
10.1096,0.18706,0,0.0,0.0
10.1206,0.187644,0,0.0,0.0
10.1247,0.187848,0,0.0,0.0
10.1259,0.187901,0,0.0,0.0
10.1316,0.188179,0,0.0,0.0
10.1426,0.188663,0,0.0,0.0
10.1507,0.188889,0,0.0,0.0
10.1536,0.188964,0,0.0,0.0
10.1646,0.189191,0,0.0,0.0
10.1696,0.189486,0,0.0,0.0
10.1703,0.189473,0,0.0,0.0
10.1756,0.189723,0,0.0,0.0
10.1866,0.189439,0,0.0,0.0
10.1976,0.189877,0,0.0,0.0
10.2028,0.189913,0,0.0,0.0
10.2046,0.189973,0,0.0,0.0
10.2086,0.190019,0,0.0,0.0
10.2123,0.190121,0,0.0,0.0
10.2141,0.190159,0,0.0,0.0
10.2196,0.190319,0,0.0,0.0
10.2306,0.190914,0,0.0,0.0
10.2416,0.190943,0,0.0,0.0
10.2526,0.191157,0,0.0,0.0
10.2636,0.191166,0,0.0,0.0
10.2746,0.191569,0,0.0,0.0
10.2856,0.191852,0,0.0,0.0
10.2966,0.192037,0,0.0,0.0
10.3076,0.192141,0,0.0,0.0
10.3186,0.192168,0,0.0,0.0
10.3296,0.192132,0,0.0,0.0
10.3406,0.192067,0,0.0,0.0
10.3516,0.191995,0,0.0,0.0
10.3626,0.191921,0,0.0,0.0
10.3736,0.19184,0,0.0,0.0
10.3846,0.191738,0,0.0,0.0
10.3956,0.191608,0,0.0,0.0
10.4066,0.191462,0,0.0,0.0
10.4176,0.191302,0,0.0,0.0
10.4286,0.191114,0,0.0,0.0
10.4396,0.19086,0,0.0,0.0
10.4506,0.190513,0,0.0,0.0
10.4573,0.190065,0,0.0,0.0
10.4562,0.189964,0,0.0,0.0
10.4616,0.189661,0,0.0,0.0
10.4659,0.190248,0,0.0,0.0
10.467,0.190179,0,0.0,0.0
10.4726,0.191023,0,0.0,0.0
10.4781,0.190392,0,0.0,0.0
10.4799,0.190255,0,0.0,0.0
10.4836,0.189857,0,0.0,0.0
10.4904,0.18819,0,0.0,0.0
10.4875,0.188889,0,0.0,0.0
10.4899,0.188364,0,0.0,0.0
10.4946,0.18735,0,0.0,0.0
10.5057,0.186618,0,0.0,0.0
10.5167,0.185934,0,0.0,0.0
10.5277,0.185635,0,0.0,0.0
10.5387,0.184289,0,0.0,0.0
10.5497,0.184929,0,0.0,0.0
10.5607,0.183702,0,0.0,0.0
10.5678,0.182947,0,0.0,0.0
10.5662,0.18289,0,0.0,0.0
10.5717,0.182522,0,0.0,0.0
10.5772,0.183637,0,0.0,0.0
10.5827,0.181984,0,0.0,0.0
10.5872,0.181481,0,0.0,0.0
10.5937,0.181015,0,0.0,0.0
10.5983,0.180606,0,0.0,0.0
10.5992,0.180653,0,0.0,0.0
10.6047,0.180187,0,0.0,0.0
10.6157,0.179514,0,0.0,0.0
10.6267,0.17944,0,0.0,0.0
10.6377,0.179025,0,0.0,0.0
10.6487,0.178462,0,0.0,0.0
10.6597,0.178385,0,0.0,0.0
10.6707,0.178308,0,0.0,0.0
10.6817,0.178127,0,0.0,0.0
10.6927,0.177789,0,0.0,0.0
10.7037,0.177994,0,0.0,0.0
10.7147,0.178382,0,0.0,0.0
10.7257,0.178413,0,0.0,0.0
10.7367,0.179023,0,0.0,0.0
10.7477,0.179189,0,0.0,0.0
10.7587,0.180389,0,0.0,0.0
10.7629,0.18087,0,0.0,0.0
10.7631,0.180955,0,0.0,0.0
10.7661,0.181481,0,0.0,0.0
10.7697,0.182451,0,0.0,0.0
10.7747,0.182534,0,0.0,0.0
10.7759,0.182388,0,0.0,0.0
10.7807,0.182419,0,0.0,0.0
10.7917,0.183721,0,0.0,0.0
10.8027,0.184698,0,0.0,0.0
10.8137,0.185624,0,0.0,0.0
10.8247,0.187569,0,0.0,0.0
10.8301,0.188889,0,0.0,0.0
10.8357,0.190442,0,0.0,0.0
10.8467,0.191368,0,0.0,0.0
10.8577,0.193335,0,0.0,0.0
10.8687,0.194914,0,0.0,0.0
10.8751,0.196296,0,0.0,0.0
10.8797,0.197397,0,0.0,0.0
10.8907,0.19962,0,0.0,0.0
10.9017,0.201978,0,0.0,0.0
10.9088,0.203704,0,0.0,0.0
10.9128,0.204698,0,0.0,0.0
10.9238,0.207031,0,0.0,0.0
10.9348,0.20972,0,0.0,0.0
10.94,0.211111,0,0.0,0.0
10.9458,0.212624,0,0.0,0.0
10.9568,0.215348,0,0.0,0.0
10.9622,0.217209,0,0.0,0.0
10.9617,0.216897,0,0.0,0.0
10.9658,0.218519,0,0.0,0.0
10.9734,0.220034,0,0.0,0.0
10.9678,0.219343,0,0.0,0.0
10.9723,0.220018,0,0.0,0.0
10.9788,0.220882,0,0.0,0.0
10.9898,0.223396,0,0.0,0.0
10.9971,0.225926,0,0.0,0.0
11.0008,0.227255,0,0.0,0.0
11.0118,0.229841,0,0.0,0.0
11.0228,0.232548,0,0.0,0.0
11.0254,0.233333,0,0.0,0.0
11.0338,0.235616,0,0.0,0.0
11.0448,0.237995,0,0.0,0.0
11.0518,0.240741,0,0.0,0.0
11.0558,0.242297,0,0.0,0.0
11.0668,0.24427,0,0.0,0.0
11.0778,0.247773,0,0.0,0.0
11.079,0.248148,0,0.0,0.0
11.0888,0.250838,0,0.0,0.0
11.0998,0.254224,0,0.0,0.0
11.1026,0.255556,0,0.0,0.0
11.1108,0.258144,0,0.0,0.0
11.1218,0.25975,0,0.0,0.0
